document,pageGroup,line,word,setName
TransBeforeChavez1stGradeUTF8.txt,1,4,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,los,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,ruices,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,edificio,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,co,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,bo,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,caracas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,1071,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,a,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,impreso,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,venezuela,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,printed,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,in,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,venezuela,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,litho,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,tip,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,c.a,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,caracas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,1986,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,isbn,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,980,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,262,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,131,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,5,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,código,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,4,1421071,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,estudios,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,sociales,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,educación,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,familiar,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,y,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,ciudadana,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,el,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,hogar,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,202,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,convivencia,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,familiar,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,204,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,organización,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,las,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,tareas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,el,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,hogar,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,206,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,reglas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,básicas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,sobre,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,organización,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,208,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,bienes,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,y,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,servicios,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,primera,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,necesidad,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,el,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,hogar,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,210,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,derechos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,del,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,niño,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,212,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,deberes,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,del,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,niño,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,213,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,los,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,símbolos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,patrios,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,5,214,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,a,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,manera,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,prólogo,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,ofrecemos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,a,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,la,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,consideración,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,los,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,educandos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,y,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,docentes,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,venezolanos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,un,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,texto,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,elaborado,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,con,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,la,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,finalidad,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,facilitar,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,situaciones,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,aprendizaje,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,apropiados,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,al,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,grado,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,madurez,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,del,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,niño,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,el,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,primer,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,grado,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,la,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,escolaridad,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,básica,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,tal,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,sentido,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,el,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,libro,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,se,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,presenta,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,a,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,través,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,sus,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,lecturas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,como,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,un,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,todo,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,integrado,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,tanto,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,a,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,nivel,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,temático,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,como,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,la,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,secuencia,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,los,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,objetivos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,buscando,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,esta,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,manera,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,posibilitar,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,los,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,educandos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,la,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,adquisición,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,los,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,conocimientos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,las,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,distintas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,áreas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,una,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,forma,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,interdisciplinaria,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,ningún,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,libro,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,puede,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,sustituir,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,al,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,docente,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,su,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,función,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,orientador,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,y,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,propiciador,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,situaciones,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,aprendizaje,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,por,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,eso,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,este,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,texto,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,será,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,concebido,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,como,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,un,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,recurso,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,didáctico,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,que,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,sugiere,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,actividades,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,permanentes,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,para,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,el,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,logro,preChavez
