setName,document,pageGroup,line,word,stem,lemma,wordCount,stemCount,lemmaCount,wordProp,stemProp,lemmaProp
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,derechos,derech,derechos,33,74,74,0.0013531244874528457,0.0030342791536821386,0.0030342791536821386
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,reservados,reserv,reserva,1,3,3,4.1003772347055926e-5,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,conforme,conform,conforme,4,10,10,1.640150893882237e-4,4.100377234705593e-4,4.100377234705593e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,colegial,colegial,colegial,2,3,3,8.200754469411185e-5,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,bolivariana,boliv,bolívar,6,96,96,2.4602263408233556e-4,0.003936362145317369,0.003936362145317369
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,avenida,aven,avenidas,1,3,3,4.1003772347055926e-5,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,cisneros,cisner,cisneros,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,ruices,ruic,ruices,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,edificio,edifici,edificios,4,18,18,1.640150893882237e-4,7.380679022470067e-4,7.380679022470067e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,caracas,carac,caracas,82,82,82,0.0033623093324585862,0.0033623093324585862,0.0033623093324585862
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,impreso,impres,impreso,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,venezuela,venezuel,venezuela,298,298,298,0.012219124159422667,0.012219124159422667,0.012219124159422667
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,printed,print,printed,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,venezuela,venezuel,venezuela,298,298,298,0.012219124159422667,0.012219124159422667,0.012219124159422667
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,caracas,carac,caracas,82,82,82,0.0033623093324585862,0.0033623093324585862,0.0033623093324585862
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,4,código,codig,código,2,2,2,8.200754469411185e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,estudios,estudi,estudiar,15,48,48,6.15056585205839e-4,0.0019681810726586845,0.0019681810726586845
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,sociales,social,social,33,76,76,0.0013531244874528457,0.0031162866983762507,0.0031162866983762507
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,educación,educ,educación,44,70,70,0.0018041659832704609,0.0028702640642939152,0.0028702640642939152
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,familiar,famili,familia,49,119,119,0.0020091848450057405,0.004879448909299655,0.004879448909299655
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,ciudadana,ciudadan,ciudadanos,6,24,24,2.4602263408233556e-4,9.840905363293422e-4,9.840905363293422e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,convivencia,conviven,convivencia,27,27,27,0.00110710185337051,0.00110710185337051,0.00110710185337051
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,familiar,famili,familia,49,119,119,0.0020091848450057405,0.004879448909299655,0.004879448909299655
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,organización,organiz,organización,26,55,55,0.0010660980810234541,0.002255207479088076,0.002255207479088076
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,tareas,tar,tareas,9,9,9,3.6903395112350336e-4,3.6903395112350336e-4,3.6903395112350336e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,reglas,regl,reglas,4,4,4,1.640150893882237e-4,1.640150893882237e-4,1.640150893882237e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,básicas,basic,básica,2,15,15,8.200754469411185e-5,6.15056585205839e-4,6.15056585205839e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,organización,organiz,organización,26,55,55,0.0010660980810234541,0.002255207479088076,0.002255207479088076
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,bienes,bien,bienes,17,17,17,6.970641298999508e-4,6.970641298999508e-4,6.970641298999508e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,servicios,servici,servicios,52,70,70,0.0021321961620469083,0.0028702640642939152,0.0028702640642939152
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,primera,primer,primera,41,74,74,0.0016811546662292931,0.0030342791536821386,0.0030342791536821386
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,necesidad,neces,necesidades,20,36,36,8.200754469411186e-4,0.0014761358044940135,0.0014761358044940135
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,derechos,derech,derechos,33,74,74,0.0013531244874528457,0.0030342791536821386,0.0030342791536821386
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,deberes,deber,deberes,36,36,36,0.0014761358044940135,0.0014761358044940135,0.0014761358044940135
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,símbolos,simbol,símbolos,28,39,39,0.001148105625717566,0.0015991471215351812,0.0015991471215351812
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,5,patrios,patri,patria,7,57,57,2.870264064293915e-4,0.002337215023782188,0.002337215023782188
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,manera,maner,manera,25,28,28,0.0010250943086763983,0.001148105625717566,0.001148105625717566
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,prólogo,prolog,prólogo,2,2,2,8.200754469411185e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,ofrecemos,ofrec,ofrece,2,18,18,8.200754469411185e-5,7.380679022470067e-4,7.380679022470067e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,consideración,consider,considerar,3,19,19,1.2301131704116778e-4,7.790716745940627e-4,7.790716745940627e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,educandos,educand,educandos,7,7,7,2.870264064293915e-4,2.870264064293915e-4,2.870264064293915e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,docentes,docent,docente,1,3,3,4.1003772347055926e-5,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,venezolanos,venezolan,venezolano,69,183,183,0.002829260291946859,0.0075036903395112355,0.0075036903395112355
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,elaborado,elabor,elaborar,4,41,41,1.640150893882237e-4,0.0016811546662292931,0.0016811546662292931
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,finalidad,final,finalidad,3,8,8,1.2301131704116778e-4,3.280301787764474e-4,3.280301787764474e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,facilitar,facilit,facilite,2,16,16,8.200754469411185e-5,6.560603575528948e-4,6.560603575528948e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,situaciones,situacion,situación,12,26,26,4.920452681646711e-4,0.0010660980810234541,0.0010660980810234541
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,aprendizaje,aprendizaj,aprendizaje,7,7,7,2.870264064293915e-4,2.870264064293915e-4,2.870264064293915e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,apropiados,apropi,apropiado,2,5,5,8.200754469411185e-5,2.0501886173527966e-4,2.0501886173527966e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,madurez,madurez,madurez,3,3,3,1.2301131704116778e-4,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,primer,prim,primer,25,32,32,0.0010250943086763983,0.0013121207151057896,0.0013121207151057896
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,escolaridad,escolar,escolares,1,8,8,4.1003772347055926e-5,3.280301787764474e-4,3.280301787764474e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,básica,basic,básica,8,15,15,3.280301787764474e-4,6.15056585205839e-4,6.15056585205839e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,sentido,sent,sentido,7,23,23,2.870264064293915e-4,9.430867639822864e-4,9.430867639822864e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,presenta,present,presente,26,58,58,0.0010660980810234541,0.0023782187961292438,0.0023782187961292438
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,través,traves,través,31,32,32,0.0012711169427587338,0.0013121207151057896,0.0013121207151057896
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,lecturas,lectur,lectura,5,43,43,2.0501886173527966e-4,0.001763162210923405,0.001763162210923405
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,integrado,integr,integración,4,32,32,1.640150893882237e-4,0.0013121207151057896,0.0013121207151057896
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,temático,temat,temática,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,secuencia,secuenci,secuencias,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,objetivos,objet,objetos,12,41,41,4.920452681646711e-4,0.0016811546662292931,0.0016811546662292931
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,buscando,busc,buscar,3,11,11,1.2301131704116778e-4,4.510414958176152e-4,4.510414958176152e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,manera,maner,manera,25,28,28,0.0010250943086763983,0.001148105625717566,0.001148105625717566
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,posibilitar,posibilit,posibilita,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,educandos,educand,educandos,7,7,7,2.870264064293915e-4,2.870264064293915e-4,2.870264064293915e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,adquisición,adquisicion,adquisición,4,4,4,1.640150893882237e-4,1.640150893882237e-4,1.640150893882237e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,conocimientos,conoc,conocer,7,44,44,2.870264064293915e-4,0.0018041659832704609,0.0018041659832704609
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,distintas,distint,distintos,5,20,20,2.0501886173527966e-4,8.200754469411186e-4,8.200754469411186e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,interdisciplinaria,interdisciplinari,interdisciplinaria,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,ningún,ningun,ninguna,3,13,13,1.2301131704116778e-4,5.330490405117271e-4,5.330490405117271e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,sustituir,sustitu,sustituido,1,5,5,4.1003772347055926e-5,2.0501886173527966e-4,2.0501886173527966e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,docente,docent,docente,2,3,3,8.200754469411185e-5,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,función,funcion,funciones,17,89,89,6.970641298999508e-4,0.003649335738887978,0.003649335738887978
